RDF Type	ID	Parent	Label	Definition	Definition Source	Editors Note	Editor Preferred Term	Curation Status	Term editor	Example
TYPE	ID	SC %	AL rdfs:label@en	AL IAO:0000115@en	AL IAO:0000119@en	AL IAO:0000116@en	AL IAO:0000111@en	AL IAO:0000111@en	AL IAO:0000117@en	AL IAO:0000112@en
owl:Class	ido:000	http://purl.obolibrary.org/obo/IAO_0020000	distributed identifier	An identifier issued by more than one authority				http://purl.obolibrary.org/obo/IAO_0000122	PERSON: Michael Conlon	postal codes are assigned by each country
owl:Class	ido:001	http://purl.obolibrary.org/obo/IAO_0020000	two part identifier	An identifier which has a centrally registered component and a locally administered component				http://purl.obolibrary.org/obo/IAO_0000122	PERSON: Michael Conlon	"DOI have two parts, an identifier of the issuer, and then an identifier of the object as dubbed by the issuer"
owl:Class	ido:002	http://purl.obolibrary.org/obo/IAO_0020000	multi-part identifier	An idenitifer whose parts are dubbed by multiple authorities				http://purl.obolibrary.org/obo/IAO_0000122	PERSON: Michael Conlon	An internet protocol 4 number is assigned in parts.
owl:Class	ido:003	http://purl.obolibrary.org/obo/IAO_0000578	crossref funder identifier	An identifier assigned by CrossRef to an organization which has funded a project resulting in a published work				http://purl.obolibrary.org/obo/IAO_0000123	PERSON: Michael Conlon	"The CrossRef ID for the University of Florida is 100007698.  When authors cite the univeristy as a funder of their work, CrossRef uses this number to identify the university"
owl:Class	ido:004	http://purl.obolibrary.org/obo/IAO_0000578	amazon standard identification number	A 10-character alphanumeric unique identifier assigned by Amazon.com and its partners for product identification within the Amazon organization.	https://en.wikipedia.org/wiki/Amazon_Standard_Identification_Number	do we need this	ASIN	http://purl.obolibrary.org/obo/IAO_0000123	PERSON: Michael Conlon	
owl:Class	ido:005	http://purl.obolibrary.org/obo/IAO_0000578	coden	"A six character, alphanumeric bibliographic code, that provides concise, unique and unambiguous identification of the titles of periodicals and non-serial publications from all subject areas."	https://en.wikipedia.org/wiki/CODEN	from bibo	CODEN	http://purl.obolibrary.org/obo/IAO_0000123	PERSON: Michael Conlon	
owl:Class	ido:006	http://purl.obolibrary.org/obo/IAO_0000578	dbpedia identifier	A URL used by DBpedia to identify an entity	https://dbpedia.org	clarify	DBpedia URL	http://purl.obolibrary.org/obo/IAO_0000123	PERSON: Michael Conlon	The DBpedia URL for the football player Cristiano Ronaldo is http://dbpedia.org/resource/Cristiano_Ronaldo 
owl:Class	ido:007	http://purl.obolibrary.org/obo/IAO_0000578	european article numbering-uniform code council 13	"A 13 digit number, often encoded into bar codes for the purpose of identifying an entity item for sale"	https://www.gs1.org/sites/default/files/docs/barcodes/GS1_General_Specifications.pdf	do we need this	EAN-13	http://purl.obolibrary.org/obo/IAO_0000123	PERSON: Michael Conlon	EAN-13 are commonly found on the wrapping of a package of a good bought in a store. 
owl:Class	ido:008	http://purl.obolibrary.org/obo/IAO_0000578	electronic international standard serial number	"The e-ISSN (or eISSN) is a standard label for ""Electronic ISSN"", the ISSN for the electronic media (online) version of a serial."	https://en.wikipedia.org/wiki/International_Standard_Serial_Number#Electronic_ISSN		eISSN	http://purl.obolibrary.org/obo/IAO_0000123	PERSON: Michael Conlon	The eISSN of the journal PLOS One is 1932-6203
